DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
6,7.65,7.09,5.18,147.0333417,330.29119032548584,192.2754825,199,7
7,8.51,7.62,6.19,210.06494182,431.7797611775504,247.064022,199,7
8,7.38,7.27,6.13,172.11932922,324.95381773887993,195.02720099999996,199,7
13,8.37,7.97,6.0,209.46594599999997,450.516969139935,265.83496649999995,199,7
14,9.0,8.48,6.32,252.425856,551.3063911727104,323.59680000000003,199,7
15,9.14,8.32,8.31,330.71123072000006,548.3271721018118,316.34636800000004,199,7
16,9.18,8.22,6.96,274.85404704,542.0099169791253,310.13895600000006,199,7
19,9.32,9.12,7.37,327.8359955199999,647.9650935394026,387.59270399999997,199,7
21,11.07,10.07,7.9,460.8743949,973.1978073810584,561.2761215,199,7
22,10.26,9.81,8.63,454.57501482,834.9491691353101,493.69119300000006,199,7
26,10.5,9.03,7.44,369.17168399999997,763.3980718894755,428.089725,199,7
27,11.44,8.84,8.75,463.08929333333333,840.9165867428051,446.99283199999996,199,7
28,12.29,11.23,11.22,810.40645906,1340.7041181217749,774.9637705,199,7
29,12.2,10.2,8.77,571.1339719999999,1147.8244944291396,634.6439999999999,199,7
30,11.49,10.7,10.81,695.5172377,1127.1746012455715,657.7450499999999,199,7
33,15.22,10.85,10.57,913.4773337666667,1754.696745462498,895.868225,199,7
34,16.62,12.09,12.46,1310.24876892,2355.1656856393824,1214.6569110000003,199,7
35,14.1,10.04,11.65,863.0921139999999,1392.7229200523443,710.6512799999998,199,7
36,15.1,11.98,10.0,946.6995333333333,2011.8061557010105,1083.5790200000001,199,7
40,18.58,14.49,12.18,1716.08889564,3652.637952721807,1950.529329,199,7
0,6.91,4.96,5.44,97.57465429333335,165.9109577763644,84.99852800000001,257,8
1,5.04,4.18,4.65,51.2670312,79.95501553121953,44.03044799999999,257,8
2,3.93,3.71,3.0,22.891071,46.034684879623924,27.046456499999998,257,8
5,8.71,7.98,6.08,221.15818816,479.1451033182497,277.32814200000007,257,8
6,9.67,8.45,6.25,267.2646979166666,610.7454767073159,345.23108749999994,257,8
7,11.15,10.9,6.59,419.1458568333333,1107.8667611899712,662.36575,257,8
8,11.5,9.77,6.67,392.1901081666666,984.745694697981,548.8541749999999,257,8
12,10.2,9.61,6.26,321.1266068,802.4552519500893,470.9957099999999,257,8
13,8.05,7.13,5.73,172.11488455,359.5535656633431,204.6185225,257,8
14,7.67,7.34,6.12,180.31059384,349.2791169995272,206.612926,257,8
15,5.98,4.98,5.15,80.26314140000001,134.37895973318936,74.15319600000001,257,8
16,7.3,6.53,5.88,146.6870468,272.13822432829653,155.639285,257,8
20,9.25,8.77,6.28,266.61180033333335,604.1537476267546,355.72216249999997,257,8
21,8.33,8.22,6.52,233.63764088,468.5012058843674,281.4223860000001,257,8
22,7.34,7.02,5.53,149.12027676,305.83363227534244,180.85906799999998,257,8
27,9.13,8.97,6.9,295.7268171000001,612.8163100857411,367.30400850000007,257,8
28,11.77,11.69,7.08,509.80328475999994,1334.510347780672,804.2211484999999,257,8
29,12.39,11.67,7.98,603.84218706,1437.6353009471036,843.6902355,257,8
34,11.98,11.45,9.31,668.3291185666667,1328.40022882983,785.303975,257,8
35,12.68,12.36,9.21,755.39786352,1622.3407281459974,968.559264,257,8
36,14.5,12.49,9.28,879.5424693333332,2015.2602816569952,1131.000725,257,8
37,15.16,15.0,12.57,1495.90542,2835.4446579643586,1705.5,257,8
40,15.69,13.81,10.78,1222.40123698,2637.3053628362,1496.1678045,257,8
41,17.93,16.28,14.41,2201.289026493333,4123.704339929235,2376.069256,257,8
0,6.29,5.28,6.64,115.40670592000001,158.25678422044598,87.67756800000001,287,9
1,9.8,9.3,6.48,309.0739680000001,719.4473562240721,423.8010000000001,287,9
6,7.92,6.92,6.5,186.43310399999996,335.49217774198524,189.630144,287,9
7,8.65,8.22,5.74,213.58867180000001,495.7553072051209,292.2333300000001,287,9
8,6.61,5.7,6.56,129.3476528,191.22732828930694,107.37945,287,9
13,8.33,7.59,6.59,218.04723786999998,415.6862417431846,239.9377365,287,9
14,8.34,7.3,5.66,180.33654280000002,392.7976227965879,222.2193,287,9
15,8.78,7.83,8.92,320.92202951999997,471.3243763964045,269.146071,287,9
16,8.09,8.33,6.49,228.88462340333336,457.43118523017756,280.6781005,287,9
19,7.97,7.83,4.68,152.84257092,407.6295033960714,244.3159665,287,9
21,10.06,9.75,10.0,513.3115,803.2289987065141,478.164375,287,9
22,8.98,7.79,8.14,298.00022838666666,483.78920792129946,272.471609,287,9
26,9.72,8.54,8.16,354.48077952,625.3478889128305,354.44757599999997,287,9
27,10.48,10.38,8.19,466.25224464,938.1524971180409,564.5806560000001,287,9
28,12.0,10.27,10.13,653.340428,1131.2615312401954,632.8374,287,9
29,11.69,11.55,9.54,674.0983557,1297.269560291569,779.7376125,287,9
30,11.23,10.49,8.56,527.7246819466667,1057.2272568054989,617.8751615000001,287,9
33,14.46,12.67,9.05,867.7045699000001,2050.4672937490423,1160.623947,287,9
34,14.89,13.25,8.87,915.8252085833333,2291.4023211061535,1307.0628125,287,9
35,14.29,11.84,10.39,919.9789204266666,1819.7485475290273,1001.6261119999999,287,9
36,13.93,12.07,10.27,903.6645129633332,1802.6983632838444,1014.6953285,287,9
40,14.5,13.45,12.68,1294.1598966666663,2252.013110468204,1311.543125,287,9
41,16.13,13.59,16.65,1910.0575804499997,2683.59034574625,1489.5095264999998,287,9
0,6.47,5.12,6.46,111.99152469333332,157.65104255649473,84.803584,315,10
1,5.61,5.43,5.67,90.39078278999999,139.02071599367423,82.70514449999999,315,10
5,5.19,4.74,5.66,72.86861724,100.89137338838223,58.303422000000005,315,10
6,5.37,4.57,5.0,64.215355,100.52433604341135,56.075956500000004,315,10
