DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
15,17.72,14.05,11.88,1547.8714152,3248.2208321555586,1748.9861500000002,1.2,2
0,11.89,10.76,7.95,532.2793922000001,1196.5384902736619,688.297832,2.1,3
1,12.24,11.82,8.17,618.58494864,1438.9106472588073,855.039888,2.1,3
6,13.21,11.75,7.34,596.2318088333334,1598.992810246391,911.9028125000001,2.1,3
7,16.06,15.73,9.71,1283.7246812866667,3320.067244637111,1986.886187,2.1,3
8,16.67,13.8,13.08,1574.7108792000004,2885.0777003786175,1587.3174000000004,2.1,3
9,15.71,13.63,12.73,1426.523210176667,2590.8576132606886,1459.2775495,2.1,3
12,17.9,15.54,12.29,1789.0988065999995,3836.114423475665,2161.3498199999995,2.1,3
0,10.55,10.06,8.12,451.0086457333333,904.0889165958858,533.8489900000001,56.0,4
1,10.5,9.75,5.73,306.99191250000007,856.4980071209512,499.078125,56.0,4
2,13.54,11.01,6.95,542.2120757,1505.0275837062795,820.660077,56.0,4
6,14.14,13.34,8.12,801.5666986133333,2142.1177664498655,1258.1460920000002,56.0,4
7,13.15,12.02,9.23,763.5022464333333,1643.163636637671,949.9586300000001,56.0,4
8,16.12,15.32,9.18,1186.43754528,3209.010874380843,1891.7013440000003,56.0,4
9,14.96,14.59,7.72,881.8253581866666,2666.3417487527136,1592.253388,56.0,4
12,15.34,14.74,12.09,1430.63070436,2811.381284245722,1666.4424920000001,56.0,4
15,15.37,15.11,11.49,1396.4865531699998,2926.4626281091264,1754.5784884999998,56.0,4
16,16.25,14.61,9.85,1223.82186875,3024.759549504499,1734.2983124999998,56.0,4
19,16.82,14.25,9.13,1145.2229195,3068.2925696332077,1707.755625,56.0,4
20,14.98,14.37,11.06,1245.95427964,2611.489938235378,1546.661781,56.0,4
21,16.36,15.98,11.33,1550.1309298933331,3495.228686492356,2088.8480720000002,56.0,4
22,16.03,14.35,11.19,1347.08161105,2884.786119883292,1650.4688375,56.0,4
23,17.06,16.55,13.11,1937.1270887,3922.8438573167637,2336.388325,56.0,4
0,9.66,8.29,4.9,205.35540339999997,592.5608711132561,331.93740299999996,57.0,5
1,10.32,9.46,5.56,284.06911808,797.6121026821265,461.7766560000001,57.0,5
2,12.11,9.31,6.54,385.87795666,989.8655749316166,524.8237855,57.0,5
3,12.67,10.8,7.68,549.9712512,1323.5368583453123,738.9144000000001,57.0,5
7,13.84,10.21,6.93,512.47592088,1388.923202265466,721.3691720000002,57.0,5
8,14.93,11.05,7.12,614.7244358666667,1752.1392291000352,911.4951625000001,57.0,5
9,14.91,9.5,5.77,427.7159635,1393.9184220015034,672.81375,57.0,5
10,12.05,10.92,5.3,364.975702,1248.1018087312427,718.45956,57.0,5
11,10.51,9.83,8.07,436.32305988999997,868.3000688008694,507.7848695,57.0,5
14,14.96,10.97,7.84,673.3373128533334,1738.372392756557,900.1499320000001,57.0,5
15,13.79,11.49,7.17,594.54105333,1649.1567130213068,910.2785895000001,57.0,5
16,14.39,11.45,8.5,732.9318658333333,1748.7789037547504,943.2824875,57.0,5
17,14.48,12.91,10.11,989.0639151199999,2113.3804753348873,1206.677044,57.0,5
18,15.44,14.68,8.74,1036.7240701866667,2821.600424604668,1663.678528,57.0,5
22,15.62,14.09,8.48,976.7114356266666,2699.749805891507,1550.504461,57.0,5
23,18.37,14.88,11.9,1702.3052816000002,3736.832366399945,2033.6912640000003,57.0,5
0,8.92,9.34,3.03,132.10910696,628.786314232042,389.07077599999997,67.0,6
1,11.61,8.14,7.14,353.12887764,759.6620332761175,384.636978,67.0,6
4,11.39,9.65,5.79,333.04889635,952.8225805841265,530.3326375,67.0,6
7,11.04,9.57,6.26,346.12561632,897.9600209417138,505.548648,67.0,6
8,12.9,10.07,7.6,516.667532,1224.2334902378361,654.0616050000001,67.0,6
11,14.64,11.26,9.31,803.1701249600002,1750.0670397249132,928.085232,67.0,6
12,13.69,11.26,8.62,695.3884966533332,1582.5164845618801,867.8611219999999,67.0,6
13,14.0,13.61,7.6,757.8410933333332,2174.776973072366,1296.6246999999998,67.0,6
14,12.93,12.82,7.68,666.2330419199999,1764.677342979025,1062.538266,67.0,6
15,15.5,13.5,8.01,877.155075,2502.843443131364,1412.4375,67.0,6
18,16.83,14.5,8.35,1066.3922774999999,3152.199254294873,1769.2537499999999,67.0,6
19,15.37,14.7,6.96,822.9602135999997,2808.162839484761,1660.6516499999998,67.0,6
20,17.22,14.22,10.53,1349.3962918799998,3168.360570150143,1741.014324,67.0,6
21,16.09,15.9,10.05,1345.5431445000002,3383.4926490308358,2033.85645,67.0,6
22,16.19,14.95,9.29,1176.7444348833333,3113.6338980369446,1809.2527375,67.0,6
25,16.81,14.29,11.39,1431.8649687566665,3078.473347765096,1716.3354604999997,67.0,6
26,17.82,17.53,12.73,2081.1166180200003,4565.306167312689,2738.051019,67.0,6
0,5.44,5.21,3.39,50.28225184,124.76432437395096,73.831952,68.0,7
1,6.35,6.21,4.39,90.59583734999998,204.7545082909848,122.44101749999999,68.0,7
2,7.78,7.63,6.77,210.31546148666663,378.1740173183494,226.463741,68.0,7
6,8.24,5.96,4.45,114.36993653333333,284.5743101960617,146.348992,68.0,7
7,9.94,8.73,6.14,278.83507092,668.3999778022583,378.778113,68.0,7
